ticker,date,price,currency
NVDA,2026-06-14,205.19,USD
MU,2026-06-14,981.61,USD
AMAT,2026-06-14,567.25,USD
000660.KS,2026-06-14,2150000,KRW
042700.KS,2026-06-14,361000,KRW
NVDA,2026-06-14,205.19,USD
MU,2026-06-14,981.61,USD
AMAT,2026-06-14,567.25,USD
000660.KS,2026-06-14,2150000,KRW
042700.KS,2026-06-14,361000,KRW
LRCX,2026-06-14,366.81,USD
ARM,2026-06-14,380.81,USD
005930.KS,2026-06-14,322500,KRW
009150.KS,2026-06-14,1714000,KRW
MRVL,2026-06-14,279.7,USD
TSLA,2026-06-14,406.43,USD
6857.T,2026-06-14,27325,JPY
8035.T,2026-06-14,68000,JPY
